TimeStep	 Blip Population	 Blip Speed	 Blip Vision	  Predator Population	 Predator Speed	 Predator Vision
157	188	1,44866	6,037382	0	0	0
158	188	1,44866	6,037382	0	0	0
159	188	1,44866	6,037382	0	0	0
160	191	1,455311	6,04144	0	0	0
161	195	1,46818	6,061346	0	0	0
162	196	1,466525	6,070636	0	0	0
163	195	1,47007	6,057947	0	0	0
164	196	1,474858	6,060538	0	0	0
165	196	1,476769	6,067092	0	0	0
166	201	1,484318	6,045608	0	0	0
167	201	1,483034	6,04792	0	0	0
168	202	1,493324	6,072139	0	0	0
169	202	1,497518	6,084305	0	0	0
170	203	1,501083	6,082193	0	0	0
171	204	1,498552	6,083303	0	0	0
172	207	1,503929	6,103988	0	0	0
173	210	1,512008	6,096889	0	0	0
174	213	1,512427	6,077535	0	0	0
175	216	1,525922	6,056036	0	0	0
176	220	1,524579	6,0572	0	0	0
177	222	1,518912	6,048723	0	0	0
178	223	1,518987	6,053881	0	0	0
179	225	1,519264	6,051304	0	0	0
180	229	1,520948	6,040915	0	0	0
181	228	1,51829	6,030081	0	0	0
182	230	1,516455	6,05077	0	0	0
183	230	1,516455	6,05077	0	0	0
184	231	1,515265	6,06706	0	0	0
185	231	1,516271	6,066828	0	0	0
186	232	1,518949	6,062252	0	0	0
187	234	1,519116	6,057629	0	0	0
188	237	1,52604	6,0749	0	0	0
189	242	1,512958	6,104722	0	0	0
190	244	1,518101	6,086529	0	0	0
191	247	1,516911	6,076445	0	0	0
192	248	1,513991	6,082096	0	0	0
193	251	1,518508	6,080156	0	0	0
194	251	1,518508	6,080156	0	0	0
195	256	1,518551	6,089951	0	0	0
196	257	1,521222	6,088272	0	0	0
197	260	1,522907	6,089012	0	0	0
198	263	1,515831	6,087836	0	0	0
199	264	1,521899	6,097863	0	0	0
200	264	1,522284	6,094202	0	0	0
201	265	1,524572	6,087465	0	0	0
202	271	1,52765	6,088222	0	0	0
203	272	1,530416	6,093449	0	0	0
204	274	1,534239	6,096707	0	0	0
205	277	1,537392	6,089942	0	0	0
206	278	1,538481	6,087086	0	0	0
207	283	1,531408	6,081655	0	0	0
208	285	1,536472	6,087673	0	0	0
209	289	1,534706	6,101006	0	0	0
210	292	1,533435	6,091632	0	0	0
211	293	1,536578	6,088394	0	0	0
212	300	1,5339	6,089795	0	0	0
213	300	1,534892	6,083162	0	0	0
214	301	1,534787	6,073936	0	0	0
215	303	1,531567	6,084393	0	0	0
216	312	1,537603	6,083903	0	0	0
217	314	1,538605	6,079184	0	0	0
218	316	1,536265	6,073666	0	0	0
219	319	1,535079	6,092412	0	0	0
220	319	1,536834	6,085434	0	0	0
221	323	1,537778	6,100972	0	0	0
222	326	1,5365	6,097198	0	0	0
223	328	1,536574	6,091236	0	0	0
224	330	1,538972	6,08531	0	0	0
225	331	1,541093	6,08364	0	0	0
226	333	1,542503	6,079835	0	0	0
227	338	1,539887	6,065119	0	0	0
228	338	1,538693	6,063217	0	0	0
229	336	1,53828	6,064791	0	0	0
230	336	1,537572	6,067735	0	0	0
231	337	1,539803	6,074117	0	0	0
232	338	1,543031	6,074284	0	0	0
233	338	1,543712	6,080766	0	0	0
